id,name,carbohydrate,protein,fat,calories
190,두부전,7.5,20.5,15.9,254.6
191,미나리전,34.2,5.2,7.6,226.4
192,배추전,35.5,5.2,8.7,240.7
193,버섯전,16.2,10.5,14.9,240.7
194,야채전,21.6,5.4,9.5,194
195,햄부침,11.3,11.3,17.1,244
196,호박부침개,10.1,3.9,8.1,129
197,호박전,16.1,6.5,13.1,208.1
198,화양적,21.3,13.6,14.8,272.6
199,가자미조림,21.5,37.1,7.1,298
200,고추조림,13.4,3.3,4.9,111
201,동태조림,17.4,40.8,4.7,276
202,돼지고기메추리알장조림,3.4,8.3,1.9,63.5
203,북어조림,17.1,20.8,3.3,181.9
204,소고기메추리알장조림,2.9,8.1,1.8,60.7
205,조기조림,12.8,41.1,18.8,384
206,게살죽,107.3,17.9,7.1,564.8
207,깨죽,79.3,13.7,15.9,515.3
208,백합죽,84.7,16.5,5.6,455.3
209,소고기버섯죽,109,18.7,7.5,578.3
210,어죽,100.8,20.4,7.5,552.1
211,잣죽,155.3,19.2,19.6,874.5
212,참치죽,104.6,24.2,16.1,659.6
213,고등어찌개,25.6,48.9,33.7,601.6
214,꽁치찌개,12.2,24,23.3,355
215,두부전골,17.1,25.6,16.1,315.2
216,버섯찌개,15.4,14.7,5.2,167.6
217,새우젓두부찌개,7.2,16.2,8.1,166
218,소곱창전골,29.2,41.6,27.3,529
219,햄김치찌개,12.7,11.1,10.4,189
220,호박찌개,12.2,5.6,2.6,95
221,대구찜,24.7,51.7,7.9,376.4
222,도미찜,0.5,23,3.5,125.5
223,동태찜,25.8,50.9,9.7,394.3
224,돼지등갈비찜,57.4,72.1,49.2,961
225,돼지머리고기,3.5,42.4,52,650
226,매운갈비찜,23.7,61.3,19.7,517.4
227,문어숙회,0.7,14.9,0.5,66.9
228,민어찜,0,21.5,5.9,136.9
229,병어찜,0.2,18.9,11.5,179.7
230,북어찜,18,28.1,5.7,235
231,붕어찜,71.6,54.3,36.9,835.6
232,소갈비찜,13.1,49.9,27,494.6
233,아구찜,43.1,65.4,6.5,492.3
234,안동찜닭,139.5,114.2,38.8,1364.2
235,전어찜,0.6,17.3,23,278.2
236,조기찜,1.6,20.1,10.6,182.1
237,참꼬막,4.6,12.5,2.5,90.8
238,한방오리백숙,3.4,68.8,20.1,469.5
239,해물찜,35.4,42.6,9.8,400.1
240,홍어찜,1.2,47.1,1,202.7
241,갈낙탕,0.8,35.8,12.8,261.8
242,광어매운탕,9.1,58.4,16.6,419.8
243,낙지탕,10.4,29.4,3.2,187.8
244,대구매운탕,16.8,57.4,7.2,361.7
245,대구지리탕,9.9,41.6,6.2,262
246,메기매운탕,48.6,28.6,10.2,400
247,복지리탕,10.3,41.7,2.7,232.1
248,소탕,1.9,7.7,5.4,86.4
249,아구탕,12.8,37.8,4.9,246.1
250,어탕,1.8,12.7,3.1,85.9
251,연포탕,20.2,94.9,9,541.6
252,우럭매운탕,11.2,52.1,17,406.8
253,육탕,0.4,12.7,4,87.6
254,전복탕,15.8,26.8,3,196.9
255,조기매운탕,17.3,35.1,19.4,384.4
256,짱뚱어탕,16.6,11.5,8.5,188.8
257,해물탕,16.6,39.8,4.7,267.8
258,고구마맛탕,94.6,3.3,11,491
259,고구마튀김,33.8,2.7,11.9,253
260,고추튀김,14.6,7.6,12.6,202
261,닭튀김,48.8,65.2,49.7,903
262,등심돈가스,38.5,33,37.5,623.8
263,모래집튀김,29.1,28.1,26.6,468.4
264,미꾸라지튀김,28.9,10.9,25.4,387.5
265,생선까스,46.6,24.3,41.1,653.4
266,안심돈가스,34.3,33.3,42.4,651.8
267,쥐포튀김,42.5,9.6,16.5,356.9
268,치즈돈가스,41.8,42,46.7,755.4
269,치킨까스,44,27.9,33.9,593
270,대구포,2.3,32,0.4,140.8
271,북어포,0.3,15.4,0.4,66.5
272,매작과,19.8,2.3,3.9,123.9
273,산자,24.7,0.7,0.9,109.7
274,송화다식,22.2,2.5,1.3,110.8
275,약과,25.5,1.3,1.4,119.7
276,유과,22.3,0.8,3.9,127.1
277,가래떡,43.7,3.9,0.5,195
278,깨송편,42.8,4.7,3.2,219
279,꿀떡,49.5,3.7,1.7,228
280,모듬찰떡,42.3,6.8,2.4,218
281,백설기,50.4,3.7,1.5,229
282,쑥절편,34.9,7.7,2.4,192
283,약식,45.2,4.2,2.5,219
284,인절미,50.1,5.6,2.2,242
285,증편,44.2,3.2,1.2,200
286,찐감자,30,4.3,0.3,140
287,찐고구마,64.9,3.3,0.5,277
288,찐옥수수,68.4,13.4,4.8,370
289,참깨경단,38.6,6.3,6.7,239
290,팥시루떡,48.1,3.8,1.8,224
291,팥찹쌀떡,62.9,5.1,2.5,294
292,가자미구이,1.3,37.4,10,245
293,간장양념닭다리구이,10.6,68.9,46.9,740
294,갈치구이,1.2,43.1,11,275
295,고등어석쇠구이,7.6,46.7,51.4,679
296,굴비구이,0.1,28,19.9,291
297,꽁치구이,4.3,49.4,43.4,604
298,닭고기대파꼬치구이,17.6,30.3,25,416
299,닭구이,26.5,89.1,45.5,872
300,닭발구이,21.3,39.9,20.7,431
301,돼지갈비구이,10.4,84.7,55.6,881
302,돼지고기산적,2.6,49.4,14.6,339
303,돼지불고기,8.1,29.7,33.1,449
304,등심스테이크,0.3,60.4,16.1,388
305,런천미트구이,5.2,28.1,39,484
306,뱅어포구이,17.6,24.1,10.6,261
307,버섯구이,3.8,4.1,1.1,41
308,삼겹살고추장구이,25.3,28.4,65.7,805
309,삼치구이,2.9,42.8,19.1,355
310,새송이버섯구이,9.3,3.4,1.8,66
311,새우구이,5.1,42.1,8,260
312,소갈비구이,4.8,77.7,43.7,722
313,소곱창구이,7.1,22.3,17.6,275
314,소불고기,8.5,32.8,19.3,339
315,안심스테이크,0.2,69.6,9.7,366
316,오리고기구이,9.8,48.1,39.4,586
317,오리불고기,22.6,16.9,22.6,361
318,장어고추장구이,6.2,19.8,17.2,258
319,조기구이,36.4,34.8,19.5,460
320,쥐포구이,37.4,21.7,0.2,238
321,참치머리구이,2.5,47.8,16.2,346
322,치킨데리야끼,51.7,56.2,30.7,707
323,키조개구이,18.8,31.4,3.7,234
324,표고버섯구이,14.5,3.5,0.8,79
325,햄구이,2.6,26,51.4,577
326,감자된장국,14.8,4.3,2.4,98
327,감잣국,14.7,3.6,1.1,82
328,곰탕,0.7,20.6,6.7,145
329,굴무국,14.6,12,1.8,123
330,근대된장국,2.7,3.5,1.6,38
331,김치콩나물국,4.6,3.3,1.9,48
332,김칫국,10.5,5.4,3,90
333,꼬리곰탕,4.2,22.5,3.2,135
334,냉이된장국,8.8,6.9,2.6,86
335,달걀국,2.7,3.7,2.9,52
336,닭개장,9.9,19.2,3,142
